emplacement,address,fast_charger,slow_charger,Support_car_type,latitude,longitude
음성군 근로자종합복지관,충청북도 음성군 대소면 태생리 605,1,0,"SM3 Z.E,테슬라",36.9658001,127.4958736
건국대학교 글로벌캠퍼스,충청북도 충주시 단월동 322,2,0,"SM3 Z.E,테슬라",36.94944957,127.9075403
인천항 크루즈터미널,인천광역시 연수구 송도동 0,2,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.38353542,126.6509079
수성대학교,대구광역시 수성구 만촌동 1078,2,0,"SM3 Z.E,테슬라",35.85416896,128.6468987
이순신종합운동장,충청남도 아산시 풍기동 366-1,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",36.76766599,127.0209826
수안보연수원,충청북도 충주시 수안보면 조산공원길 64,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",36.84388975,127.9917895
강정상록 아파트,제주특별자치도 서귀포시 강정동 신서로 55,1,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",33.25521442,126.5049233
금성공영주차장,경상북도 의성군 금성면 대리리 30-55,1,0,"SM3 Z.E,테슬라",36.25318661,128.682293
충주문화회관,충청북도 충주시 성내동 215,2,0,"SM3 Z.E,테슬라",36.9706594,127.9371828
과정공영주차장,부산광역시 연제구 연산동 1062-1,1,0,"SM3 Z.E,테슬라",35.18695422,129.0988122
도램15세종힐스테이트,세종특별자치시 도담동 859,1,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",36.51240251,127.2649891
서해그랑블(B5층),경기도 의왕시 오전동 892,2,0,"SM3 Z.E,테슬라",37.35035602,126.9735913
탄금호국제조정경기장,충청북도 충주시 중앙탑면 탑평리 137,1,0,"SM3 Z.E,테슬라",37.0218453,127.8643894
북후면행정복지센터,경상북도 안동시 북후면 옹천리 557-2,1,0,"SM3 Z.E,테슬라",36.68505306,128.7024086
탑대우아파트,경기도 성남시 분당구 야탑동 535,0,4,"레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV",37.40638807,127.1210672
시지우방하이츠,대구광역시 수성구 매호동 1033,0,1,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",35.84184592,128.7113374
홍은1동 제4공영주차장,서울특별시 서대문구 홍은동 11-23,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.601404,126.9489507
섬내공원 공영주차장,경상북도 칠곡군 석적읍 중리 884-162,1,0,"SM3 Z.E,테슬라",36.07529995,128.4074306
포일어울림센터,경기도 의왕시 포일동 686,2,0,"SM3 Z.E,테슬라",37.39617095,126.9826599
전곡선사박물관,경기도 연천군 전곡읍 전곡리 163-1,1,0,"SM3 Z.E,테슬라",38.01190702,127.0670739
칠곡왜관3주공아파트,경상북도 칠곡군 왜관읍 평장7길 11,0,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",35.98729545,128.4127138
금오9단지주공아파트,경기도 의정부시 신곡동 790,1,2,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",37.74790438,127.0800574
안동중앙신시장 공영주차장,경상북도 안동시 옥야동 327-3,1,0,"SM3 Z.E,테슬라",36.56298314,128.7236881
태백시보건소,강원도 태백시 황지동 20-8,1,0,"SM3 Z.E,테슬라",37.17652475,128.9924665
범지기 3단지,세종특별자치시 아름동 1297,1,3,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",36.51724227,127.2445073
대천동주민센터,제주특별자치도 서귀포시 도순로 44,1,0,"SM3 Z.E,레이EV,소울EV,닛산리프,아이오닉EV,BMW i3,스파크EV,볼트EV,테슬라",33.25055488,126.47778
한국농어촌공사 영광지사,전라남도 영광군 영광읍 신하리 329,2,0,"SM3 Z.E,테슬라",35.27442941,126.4923522
